"Диагностика","цена от","Двигатель","цена от","Электрооборудование","цена от","Система кондиционирования","цена от","Полировка кузова","цена от","Ходовая часть и сход-развал","цена от","Замена аккумулятора на новый с выездом","цена от","Рулевое управление","цена от","Шиномонтаж","цена от","Техническое обслуживание","цена от","Тонировка и тюнинг","цена от","Тормозная система","цена от","Трансмиссия","цена от","Тюнинг","цена от","Выхлопная система","цена от"
"Диагностика электрооборудования","3000","Экспресс-замена масла","1500","Замена лампы ближнего света на автомобиле","200","Опрессовка автокондиционера","","","","Замена подшипника ступицы","9000","Экстренная доставка топлива в дороге","","Замена рулевого наконечника","2400","Балансировка колёс","","Замена масла в дифференциале автомобиля","960","Оклейка автомобиля матовой пленкой","","Замена тормозных барабанов","2700","Замена главного цилиндра сцепления","","Установка DVD в автомобиль","","Ремонт глушителя",""
"Диагностики пневматической подвески","","Замена маслосъёмных колпачков","","Замена механизма стеклоочистителя в автомобиле","","Мойка радиаторов охлаждения ДВС и кондиционера","4999","","","Замена пружин передней подвески","4800","Срочный слив топлива с бака","","Замена рулевой колонки","3360","Балансировка колёс R-13 R14","260","Замена масла в мостах автомобиля","2460","Оклейка автомобиля пленкой","","Замена тормозных дисков","3300","Замена карданного вала","","Установка автозвука","","Ремонт гофры глушителя",""
"Комплексная диагностика автомобиля","","Замена масляного насоса","","Замена насоса омывателя","1260","Ремонт климат-контроля в автомобиле","","","","Замена рычагов подвески","3600","Промывка топливной системы","","Замена рулевой рейки","6900","Балансировка колёс R-15 R-16","350","Замена масла раздаточной коробки автомобиля","960","Оклейка автомобиля пленкой для такси","","Замена тормозных колодок","","Замена комплекта сцепления","12000","Установка автосигнализации","","Ремонт катализатора",""
"","","Замена натяжителя приводного ремня","","Замена проводки в автомобиле","","Ремонт компрессора автокондиционера","","","","Замена сайлентблоков","","Замена свечей зажигания с выездом","","Замена рулевой тяги","5760","Балансировка колёс R-17 R-18 R-19","450","Замена охлаждающей жидкости в автомобиле","1560","Оклейка автомобиля антигравийной пленкой","","Замена тормозных суппортов","","Замена масла АКПП","","Установка автосигнализации с автозапуском","","Ремонт кронштейна глушителя",""
"","","Замена опоры двигателя","","Замена проводов высокого напряжения в автомобиле","","Ремонт автокондиционера","","","","Замена сайлентблоков задней балки","12000","Компьютерная диагностика автомобиля с выездом","","Замена сальника","","Балансировка колёс R-20 R-21","700","Замена тормозной жидкости в автомобиле","1260","Оклейка капота автомобиля пленкой","","Замена тормозных цилиндров","","Замена масла МКПП","960","Установка биксенона на автомобиль","","Сварка глушителя",""
"","","Замена переднего сальника коленвала","2460","Замена ремня генератора автомобиля","1260","Ремонт муфты компрессора автокондиционера","","","","Замена сайлентблоков рычагов","4500","Отключение автомобильной сигнализации","","Ремонт гидравлической рулевой рейки","","","","Замена масла в двигателе","960","Оклейка крыши автомобиля пленкой","","Замена троса ручного тормоза","","Замена масла в РКПП","2600","Установка видеорегистратора в автомобиль","","Тюнинг выхлопной системы",""
"","","Замена передней опоры двигателя","1560","Замена стартера автомобиля","1560","Ремонт автомобильного радиатора","","","","Замена стойки стабилизатора","1200","Отключение меток и блокировок","","Ремонт гидроусилителя","","Вулканизация","","Замена сажевого фильтра","","Оклейка фар автомобиля пленкой","","Прокачка тормозов","","Замена масла в АКПП с промывкой","","Установка ГБО в автомобиль","","",""
"","","Замена подушки двигателя","","Замена стеклоподъемника в автомобиле","","Ремонт радиатора автокондиционера","","","","Замена ступицы","3000","Отключение иммобилайзера","","Ремонт кардана рулевого вала","","Выездной шиномонтаж","","Замена салонного фильтра","660","","","Промывка тормозной системы","","Замена масла в редукторе","960","Установка иммобилайзера в автомобиль","","",""
"","","Замена подшипника первичного вала","","Замена трамблера в автомобиле","","Ремонт радиатора охлаждения","","","","Замена шаровой опоры","3060","Буксировка на тросу","","Ремонт рулевого механизма","","Ошиповка резины","","Замена свечей зажигания","960","","","Проточка тормозных дисков без снятия","","Замена масла раздаточной коробки","960","Установка камеры заднего вида на автомобиль","","",""
"","","Замена помпы двигателя","3600","Замена фар автомобиля","960","","","","","Ремонт пневматической подвески","","Изготовление и прописывание автоключей","","Ремонт ШРУСов","","Покраска колёсных дисков","","Замена свечей накаливания","","","","Проточка тормозных дисков со снятием","","Замена раздаточной коробки","","Установка колонок в автомобиль","","",""
"","","Замена поршневых колец","","Замена форсунки омывателя лобового стекла в автомобиле","1200","","","","","Сход-развал в 3D","3060","Выездная диагностика автомобилей перед покупкой","","Ремонт электрических рулевых реек","","Правка колёсных дисков","","Замена топливного фильтра","2460","","","Регулировка стояночного тормоза","","Замена сальников КПП","","Установка ксенона на автомобиль","","",""
"","","Замена приводного ремня","900","Замена электронного блока управления ДВС в автомобиле","960","","","","","Тюнинг подвески","","Отогрев легковых автомобилей","","","","Ремонт боковых порезов","","Замена фильтра салона","","","","Ремонт ручного тормоза","","Замена сцепления","","Установка автомагнитолы","","",""
"","","Замена прокладки ГБЦ","","Зарядка АКБ","960","","","","","","","Отогрев грузовых автомобилей","","","","Сварка колёсных дисков","","Обслуживание ГБО","","","","Ремонт суппорта","","Регулировка дифференциала","","Установка автомобильной навигации","","",""
"","","Замена прокладки впускного коллектора","","Регулировка фар автомобиля","960","","","","","","","Отогрев спецтехники","","","","Сезонное хранение шин","3300","Снятие и установка защиты картера","300","","","","","Ремонт МКПП","","Установка омывателя фар на автомобиль","","",""
"","","Замена прокладки выпускного коллектора","","Ремонт автомобильного генератора","","","","","","","","","","","","Устранение прокола колеса","200","Экспресс-замена масла","","","","","","Ремонт РКПП","","Установка парктроника в автомобиль","","",""
"","","Замена прокладки клапанной крышки","2700","Ремонт стартера автомобиля","","","","","","","","","","","","Финишная балансировка","","","","","","","","Ремонт вариатора","","Установка подогрева сидений автомобиля","","",""
"","","Замена прокладки поддона","","Ремонт стеклоподъемника в автомобиле","","","","","","","","","","","","","","","","","","","","Ремонт гидроблока","","Установка сабвуфера в автомобиль","","",""
"","","Замена регулятора давления топлива","","Ремонт фар автомобиля","","","","","","","","","","","","","","","","","","","","Ремонт гидротрансформатора","","Установка секретной кнопки в автомобиль","","",""
"","","Замена редуктора","","Диагностика электрооборудования в автомобиле","3000","","","","","","","","","","","","","","","","","","","Ремонт дифференциала","","Установка спутниковой автосигнализации","","",""
"","","Замена ремня ГРМ","8700","","","","","","","","","","","","","","","","","","","","","Ремонт карданных валов","","Установка автомобильного усилителя","","",""
"","","Замена ролика приводного ремня","1800","","","","","","","","","","","","","","","","","","","","","Ремонт раздаточной коробки","","Установка и ремонт газоаппаратуры автомобиля","","",""
"","","Замена свечей зажигания","960","","","","","","","","","","","","","","","","","","","","","Ремонт электронного блока управления","","Шумоизоляция автомобиля","","",""
"","","Замена свечей накаливания","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Замена топливного шланга","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Замена турбины","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Замена форсунок","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Замена цепи ГРМ","14100","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Замер компрессии в двигателе","600","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Капитальный ремонт бензинового двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Капитальный ремонт дизельного двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Промывка двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Промывка инжектора","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Промывка топливной системы бензинового двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Промывка форсунок","1450","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Регулировка клапанов","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт ГБЦ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт бензинового двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт блока управления двигателем","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт вентилятора охлаждения двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт двигателя автомобиля","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт дизельного двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт дизельных турбин","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт инжектора","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт карбюратора","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт редуктора","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт ТНВД бензинового двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт ТНВД дизельного двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт турбин","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт форсунок","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Ремонт форсунок дизельных двигателей","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Снятие или установка ГБЦ двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Тюнинг двигателя","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Экспресс-замена масла","","","","","","","","","","","","","","","","","","","","","","","","","","",""
